Days_to_Flowering;Days_to_Maturity;First_Pod_Height_cm;Branch_Number;Plant_Height_cm;Biological_Yield_g;Pod_Number;Pod_Weight_g;Pod_Length_cm;Seeds_per_Pod;Seeds_per_Plant;Single_Plant_Yield_g;Plot_Yield_kg_da;Seed_Weight_100_g;Pod_Filling_Rate;Seed_to_Pod_Ratio;Seed_Unit_Weight;Pod_Length_Yield_Index;Plant_Yield_Ratio;Vegetation_Period_days
52;109;33.2;3.4;78.6;35.870000000000005;6.400000000000001;17.700000000000003;8.2;2.4;10.4;13.399999999999997;68.71;98.72;2.7613104524180967;1.6224648985959436;1.7002881844380406;2.15590742996346;5.59594383775351;57
48;110;41.2;3.8;84.2;38.51;5.2;16.45;8.7;2.3999999999999995;10.6;12.190000000000001;143.84;134.79;3.1573896353166986;2.034548944337812;1.5504241281809614;1.8886337543053962;7.391554702495201;62
45;107;39.0;4.6;87.20000000000002;34.13000000000001;6.6;18.159999999999997;6.5;3.2000000000000006;15.0;14.48;205.53;129.41;2.7473524962178515;2.2692889561270806;1.2098600932711523;2.789554531490015;5.163388804841151;62
48;109;53.0;4.6;100.39999999999999;45.72;8.6;15.219999999999999;5.92;1.8593799999999998;11.0;10.36;135.7;132.44;1.767711962833914;1.2775842044134729;1.3823796548592189;2.566610455311973;5.310104529616725;61
50;110;40.2;3.0;97.6;40.96;8.2;33.83;9.26;3.3999999999999995;20.4;26.0;381.82;146.47;4.120584652862363;2.484774665042631;1.6575208231259186;3.6494066882416396;4.989037758830695;60
49;110;45.79999999999999;2.4;107.8;32.76;6.4;14.670000000000002;7.9;10.681000000000001;2.4000000000000004;11.010000000000002;220.31;119.87;2.2886115444617787;0.37441497659906403;6.0871369294605815;1.8546144121365362;5.110764430577222;61
46;109;44.8;3.6;99.2;52.17;9.0;22.79;9.9;3.8;14.2;17.290000000000003;251.22;129.74;2.5294117647058822;1.5760266370699223;1.6038001407459537;2.2996972754793137;5.79023307436182;63
47;107;39.6;3.0;91.4;37.42000000000001;6.6;15.469999999999999;8.399999999999999;2.7999999999999994;12.2;10.920000000000002;257.96;140.55;2.3403933434190622;1.8456883509833586;1.266994266994267;1.8394768133174795;5.661119515885025;60
45;108;32.6;2.6000000000000005;97.79999999999998;39.650000000000006;5.6;24.0;10.099999999999998;3.2;14.799999999999997;19.13;198.16;131.22;4.278074866310161;2.638146167557932;1.6205266711681299;2.373887240356084;7.067736185383246;63
48;109;33.599999999999994;3.0;94.0;37.07;6.8;18.619999999999997;7.899999999999999;2.4000000000000004;14.8;14.23;202.64;142.56;2.7342143906020557;2.173274596182085;1.2572586090479403;2.353982300884956;5.443465491923642;61
49;109;56.4;4.0;103.79999999999998;43.28;7.799999999999999;17.27;7.6;14.8;2.8;13.520000000000001;308.48;151.24;2.211267605633803;0.3585147247119079;6.1459074733096095;2.269382391590013;5.541613316261205;60
48;107;37.4;2.2;88.8;36.25;11.4;40.160000000000004;9.3;4.0;34.0;31.359999999999996;348.17;162.46;3.519719544259422;2.9798422436459244;1.1808291678917968;4.313641245972073;3.17703768624014;59
48;107;35.0;3.1999999999999997;95.2;48.80999999999999;16.2;24.79;6.3999999999999995;2.8;29.4;16.610000000000003;263.43;152.47;1.529302899444787;1.8136952498457741;0.842910574634478;3.867394695787832;3.011104256631708;59
46;107;32.6;3.6;87.20000000000002;60.61;16.4;37.290000000000006;8.8;4.0;36.400000000000006;29.26;234.26;161.88;2.2723948811700185;2.218159658744668;1.0241691842900302;4.232690124858117;3.693479585618525;61
46;106;24.6;2.8000000000000003;84.0;47.919999999999995;15.800000000000002;27.860000000000003;7.7;3.1999999999999997;36.8;19.07;194.34;126.47;1.7621758380771664;2.3276407337128395;0.7568595490355884;3.61348897535668;3.030993042378241;60
47;106;29.8;2.6;98.2;58.79;15.0;33.65;7.800000000000002;2.4;40.400000000000006;25.639999999999997;154.8;116.74;2.2418387741505663;2.6915389740173223;0.8327146745854985;4.308578745198463;3.91672218520986;59
45;106;27.6;2.4000000000000004;96.0;38.120000000000005;11.6;14.969999999999999;7.1;2.8;22.6;9.82;86.62;94.55;1.2894056847545219;1.9465977605512492;0.662096417514374;2.1054852320675104;3.28337639965547;61
48;106;39.0;3.6;95.59999999999998;30.889999999999997;6.6;14.290000000000001;8.1;3.0;14.8;10.56;138.27;83.21;2.1618759455370653;2.239031770045386;0.9648885887913572;1.7620221948212087;4.673222390317701;58
46;105;42.199999999999996;3.6;87.20000000000002;32.14;8.399999999999999;13.719999999999999;8.55;2.2;11.399999999999999;9.669999999999998;233.73;106.22;1.6313912009512488;1.3555291319857314;1.2024539877300615;1.6028037383177567;3.821640903686089;59
50;105;35.599999999999994;4.0;88.6;37.61;9.2;16.91;7.6;3.2;14.199999999999998;13.27;121.79;99.42;1.8360477741585235;1.541802388707926;1.1900070372976779;2.2220762155059135;4.083604777415853;55
45;106;38.4;2.4;87.6;31.79;6.200000000000001;18.79;8.2;3.2;17.8;13.429999999999998;230.41;115.28;3.025764895330112;2.86634460547504;1.0550252667040987;2.2886723507917175;5.11916264090177;61
49;106;41.2;3.2;100.6;39.739999999999995;8.600000000000001;18.009999999999998;9.64;2.8;15.6;13.219999999999999;212.72;112.76;2.0917537746806034;1.8118466898954702;1.1537475976937859;1.8663212435233159;4.615563298490127;57
51;106;36.8;4.4;104.0;38.64999999999999;10.2;18.32;7.1;3.0;16.2;13.710000000000003;126.21;106.94;1.794319294809011;1.58667972575906;1.1301665638494756;2.576652601969058;3.7855044074436823;55
